name,name_code,year,Agglomeration,Agglomeration_code,AREA,GDZTKN_IN_A,RS,FAI,POP_diff,RP,FD
三明市,1,2009,粤闽浙沿海,1,-0.83551155,-0.161735128,-0.524833183,-0.419237424,-0.185360599,-0.249977991,-0.700886323
三明市,1,2010,粤闽浙沿海,1,-0.822604175,-0.212506171,-0.49604796,-0.381311304,-0.285687891,-0.250022512,-0.638220969
三明市,1,2011,粤闽浙沿海,1,-0.806689786,-0.212506171,-0.462086254,-0.360638801,-0.137837145,-0.239580771,-0.583164391
三明市,1,2012,粤闽浙沿海,1,-0.790729574,-0.263277215,-0.425134856,-0.295722789,-0.238164437,-0.21255928,-0.463380314
三明市,1,2013,粤闽浙沿海,1,-0.769972752,-0.329670118,-0.392561107,-0.253954236,-0.185360599,-0.187042611,-0.329703824
三明市,1,2014,粤闽浙沿海,1,-0.761222934,0.22685863,-0.37827934,-0.226018328,-0.185360599,-0.170358977,-0.265492477
三明市,1,2015,粤闽浙沿海,1,-0.750053138,0.265913279,-0.348981897,-0.314233403,-0.132556761,-0.155447293,-0.025346036
三明市,1,2016,粤闽浙沿海,1,-0.74144203,0.285440604,-0.322236979,-0.363217794,-0.185360599,-0.156322879,0.049178499
三明市,1,2017,粤闽浙沿海,1,-0.73014591,0.463139256,-0.283193884,-0.35404625,-0.185360599,-0.151122786,0.240510781
三明市,1,2018,粤闽浙沿海,1,-0.723492828,1.058722654,-0.242477623,-0.330828106,-0.185360599,-0.185273629,0.235909096
三明市,1,2019,粤闽浙沿海,1,-0.718566179,2.388533452,-0.097848435,-0.303966131,-0.238164437,-0.192456407,0.354994923
三门峡市,2,2009,中原,2,-0.638415867,0.394793621,-0.550639436,-0.510773221,-0.132556761,-0.252055654,-0.657979301
三门峡市,2,2010,中原,2,-0.618795964,0.279582406,-0.527819547,-0.472681851,-0.164239064,-0.239429399,-0.649592914
三门峡市,2,2011,中原,2,-0.608220636,0.355738972,-0.500704089,-0.458939789,-0.248725204,-0.230587459,-0.554307889
三门峡市,2,2012,中原,2,-0.590541421,0.267866011,-0.472756373,-0.438241702,-0.380734799,-0.221344827,-0.50815754
三门峡市,2,2013,中原,2,-0.574409061,0.066734569,-0.447432097,-0.398546539,-0.296248658,-0.211618396,-0.484949175
三门峡市,2,2014,中原,2,-0.565013998,0.13117474,-0.418252153,-0.375521692,-0.259285972,-0.202601338,-0.479380398
三门峡市,2,2015,中原,2,-0.552722145,0.04330178,-0.38418367,-0.358766477,-0.386015183,-0.231581769,-0.444277784
三门峡市,2,2016,中原,2,-0.540352269,0.371360831,-0.351445614,-0.343777083,-0.364893648,-0.226052217,-0.39629722
三门峡市,2,2017,中原,2,-0.532366589,0.170229389,-0.312446368,-0.323105338,-0.317370194,-0.202441062,-0.287554111
三门峡市,2,2018,中原,2,-0.522115741,0.588114133,-0.282963839,-0.297800159,-0.290968275,-0.176019125,-0.168525498
三门峡市,2,2019,中原,2,-0.517753836,0.658412501,-0.306571839,-0.272494981,-0.254005588,-0.134813131,-0.094125848
上海市,3,2009,长三角,3,1.697703739,1.150501079,3.147736381,2.213709823,3.495066902,6.102933679,1.834782412
上海市,3,2010,长三角,3,1.77056068,0.781434646,3.811221952,3.192515124,4.693714022,5.708815851,1.711431414
上海市,3,2011,长三角,3,1.839080484,3.286790379,4.361596142,3.551879285,2.629083961,6.197508898,2.054393525
上海市,3,2012,长三角,3,1.88244193,3.030982428,4.803420724,3.951827204,2.085204431,6.996827403,1.779162927
上海市,3,2013,长三角,3,1.95335075,3.649998615,5.276451136,4.782309199,2.402027458,7.359896042,1.648680548
上海市,3,2014,长三角,3,2.009203444,4.079599753,6.201871839,5.515482841,0.817912321,7.497348289,1.14902983
上海市,3,2015,长三角,3,2.044968093,4.321738577,6.814148795,6.012869494,-0.66059514,7.781073946,3.204897842
上海市,3,2016,长三角,3,2.079606968,5.926884651,7.416854907,6.467854831,0.289873942,9.85459348,2.225174485
上海市,3,2017,长三角,3,2.110007786,4.69080501,8.070334538,6.747370628,-0.238164437,11.28480326,4.640112967
上海市,3,2018,长三角,3,2.149226537,7.809318733,8.690286006,7.082144049,0.289873942,12.36721818,6.719678427
上海市,3,2019,长三角,3,2.190818205,8.436145849,11.04091383,7.457732428,0.131462429,11.27427544,5.309627999
上饶市,4,2009,长江中游,4,-0.131089914,-0.005516532,-0.473291073,-0.389371015,0.068097823,-0.262209489,-0.278650958
上饶市,4,2010,长江中游,4,-0.110364054,-0.140255071,-0.433253484,-0.386344407,0.073378207,-0.253438784,-0.196825861
上饶市,4,2011,长江中游,4,-0.084689253,0.014010793,-0.395741653,-0.370616885,-0.217042902,-0.246089793,-0.037438379
上饶市,4,2012,长江中游,4,-0.060807762,-0.085578562,-0.361939299,-0.383160129,-0.232884053,-0.243641119,0.116805429
上饶市,4,2013,长江中游,4,-0.008228354,-0.103153154,-0.316911348,-0.358701097,-0.227603669,-0.204925353,0.250154018
上饶市,4,2014,长江中游,4,0.011732129,-0.269135412,-0.272274864,-0.323198196,-0.232884053,-0.162912039,0.24168335
上饶市,4,2015,长江中游,4,0.031911822,0.558823146,-0.204083917,-0.315805359,-0.232884053,-0.131141604,0.513478679
上饶市,4,2016,长江中游,4,0.058375531,1.195413925,-0.144407946,-0.333797293,-0.248725204,-0.146804215,0.719289659
上饶市,4,2017,长江中游,4,0.088230182,0.933747777,-0.076953496,-0.287171878,-0.217042902,-0.111620476,1.140022708
上饶市,4,2018,长江中游,4,0.114975025,1.933546791,-0.066858526,-0.219178092,-0.238164437,-0.01273559,1.527714059
上饶市,4,2019,长江中游,4,0.138790877,2.095623584,-0.002414473,-0.174531693,-0.264566356,0.121757471,2.143498266
东莞市,5,2009,珠三角,5,0.211703548,-0.25937175,0.031547159,-0.034811222,1.689175646,0.05904173,-0.961735424
东莞市,5,2010,珠三角,5,0.232090066,-0.269135412,0.141716026,0.005597243,1.7366991,-0.050750887,-0.858951744
东莞市,5,2011,珠三角,5,0.251811524,-0.269135412,0.258736095,0.147296351,2.676607415,0.250626002,-0.690603894
东莞市,5,2012,珠三角,5,0.270651188,-0.17930972,0.324006194,0.154048467,2.333382469,0.262623022,-0.749621735
