name,name_code,year,Province,Province_code,AREA,GDZTKN_IN_P,RS,FAI,POP_diff,RP,FD
七台河市,1,2009,黑龙江省,1,-0.7585404,-0.605249072,-0.645846311,-0.552447021,-0.04807062,-0.284001206,-0.770111538
七台河市,1,2010,黑龙江省,1,-0.753818099,-0.525462042,-0.637427611,-0.550694465,-0.180080215,-0.28439893,-0.774672005
七台河市,1,2011,黑龙江省,1,-0.748308129,-0.555382178,-0.630557701,-0.532636204,-0.195921366,-0.282255969,-0.733015681
七台河市,1,2012,黑龙江省,1,-0.743157316,-0.682542757,-0.622775229,-0.5353217,-0.20120175,-0.280703658,-0.689307671
七台河市,1,2013,黑龙江省,1,-0.731215951,-0.665089344,-0.617244917,-0.537535704,-0.206482134,-0.28320279,-0.657797817
七台河市,1,2014,黑龙江省,1,-0.726506035,-0.692516135,-0.611789806,-0.551294443,-0.386015183,-0.281282436,-0.658491761
七台河市,1,2015,黑龙江省,1,-0.722032667,-0.680049412,-0.607525663,-0.55583824,-0.454660172,-0.283493663,-0.589970333
七台河市,1,2016,黑龙江省,1,-0.718130236,-0.637662553,-0.603430042,-0.548938119,-0.343772113,-0.285458538,-0.460707892
七台河市,1,2017,黑龙江省,1,-0.713737369,-0.660102655,-0.599770551,-0.552051142,-0.264566356,-0.27818375,-0.526484304
七台河市,1,2018,黑龙江省,1,-0.711025112,-0.642649242,-0.595621689,-0.554238237,-0.232884053,-0.283164205,-0.518674974
七台河市,1,2019,黑龙江省,1,-0.706929479,-0.69500948,-0.628166229,-0.555184632,-0.222323285,-0.279338337,-0.276447932
三亚市,2,2009,海南省,2,-0.980235889,-1.014157599,-0.640004318,-0.375485686,-0.106154842,-0.253492209,-0.845154686
三亚市,2,2010,海南省,2,-0.975416987,-1.014157599,-0.63054269,-0.309265112,0.390201234,-0.235481839,-0.860223359
三亚市,2,2011,海南省,2,-0.97180312,-0.799729957,-0.614043297,-0.22208569,0.068097823,-0.224458353,-0.797049852
三亚市,2,2012,海南省,2,-0.970259982,-0.882010331,-0.600151888,-0.109115763,0.089219358,-0.212796727,-0.791294054
三亚市,2,2013,海南省,2,-0.966459106,-0.842116816,-0.586333981,0.012682512,-0.053351004,-0.202684445,-0.800929909
三亚市,2,2014,海南省,2,-0.963346821,-0.84959685,-0.573047521,0.159155288,-0.011107934,-0.191788587,-0.762947551
三亚市,2,2015,海南省,2,-0.961230269,-0.844610161,-0.543270319,0.32332361,-0.069192155,-0.177387414,-0.748769686
三亚市,2,2016,海南省,2,-0.958750844,-1.016650944,-0.531170241,0.216061239,-0.026949085,-0.164019137,-0.706994014
三亚市,2,2017,海南省,2,-0.95549242,-0.752356408,-0.51217696,0.48083836,-0.011107934,-0.205803907,-0.701639941
三亚市,2,2018,海南省,2,-0.953515815,-0.458141736,-0.498872753,0.202983208,-0.04807062,-0.195216731,-0.447388843
三亚市,2,2019,海南省,2,-0.952376419,-1.006677565,-0.426199672,0.007390354,-0.026949085,0.135137621,-0.275745375
三明市,3,2009,福建省,3,-0.83551155,-0.383341395,-0.524833183,-0.419237424,-0.185360599,-0.249977991,-0.700886323
三明市,3,2010,福建省,3,-0.822604175,-0.438194978,-0.49604796,-0.381311304,-0.285687891,-0.250022512,-0.638220969
三明市,3,2011,福建省,3,-0.806689786,-0.440688323,-0.462086254,-0.360638801,-0.137837145,-0.239580771,-0.583164391
三明市,3,2012,福建省,3,-0.790729574,-0.483075182,-0.425134856,-0.295722789,-0.238164437,-0.21255928,-0.463380314
三明市,3,2013,福建省,3,-0.769972752,-0.552888833,-0.392561107,-0.253954236,-0.185360599,-0.187042611,-0.329703824
三明市,3,2014,福建省,3,-0.761222934,-0.171407098,-0.37827934,-0.226018328,-0.185360599,-0.170358977,-0.265492477
三明市,3,2015,福建省,3,-0.750053138,-0.171407098,-0.348981897,-0.314233403,-0.132556761,-0.155447293,-0.025346036
三明市,3,2016,福建省,3,-0.74144203,-0.091620068,-0.322236979,-0.363217794,-0.185360599,-0.156322879,0.049178499
三明市,3,2017,福建省,3,-0.73014591,0.04551389,-0.283193884,-0.35404625,-0.185360599,-0.151122786,0.240510781
三明市,3,2018,福建省,3,-0.723492828,0.496809276,-0.242477623,-0.330828106,-0.185360599,-0.185273629,0.235909096
三明市,3,2019,福建省,3,-0.718566179,1.79334851,-0.097848435,-0.303966131,-0.238164437,-0.192456407,0.354994923
三门峡市,4,2009,河南省,4,-0.638415867,0.439462349,-0.550639436,-0.510773221,-0.132556761,-0.252055654,-0.657979301
三门峡市,4,2010,河南省,4,-0.618795964,0.314795115,-0.527819547,-0.472681851,-0.164239064,-0.239429399,-0.649592914
三门峡市,4,2011,河南省,4,-0.608220636,0.362168664,-0.500704089,-0.458939789,-0.248725204,-0.230587459,-0.554307889
三门峡市,4,2012,河南省,4,-0.590541421,0.292355013,-0.472756373,-0.438241702,-0.380734799,-0.221344827,-0.50815754
三门峡市,4,2013,河南省,4,-0.574409061,0.070447336,-0.447432097,-0.398546539,-0.296248658,-0.211618396,-0.484949175
三门峡市,4,2014,河南省,4,-0.565013998,0.140260987,-0.418252153,-0.375521692,-0.259285972,-0.202601338,-0.479380398
三门峡市,4,2015,河南省,4,-0.552722145,0.035540511,-0.38418367,-0.358766477,-0.386015183,-0.231581769,-0.444277784
三门峡市,4,2016,河南省,4,-0.540352269,0.369648698,-0.351445614,-0.343777083,-0.364893648,-0.226052217,-0.39629722
三门峡市,4,2017,河南省,4,-0.532366589,0.140260987,-0.312446368,-0.323105338,-0.317370194,-0.202441062,-0.287554111
三门峡市,4,2018,河南省,4,-0.522115741,0.54667617,-0.282963839,-0.297800159,-0.290968275,-0.176019125,-0.168525498
三门峡市,4,2019,河南省,4,-0.517753836,0.693783506,-0.306571839,-0.272494981,-0.254005588,-0.134813131,-0.094125848
上饶市,5,2009,江西省,5,-0.131089914,0.090394094,-0.473291073,-0.389371015,0.068097823,-0.262209489,-0.278650958
上饶市,5,2010,江西省,5,-0.110364054,-0.124033549,-0.433253484,-0.386344407,0.073378207,-0.253438784,-0.196825861
上饶市,5,2011,江西省,5,-0.084689253,0.057980613,-0.395741653,-0.370616885,-0.217042902,-0.246089793,-0.037438379
上饶市,5,2012,江西省,5,-0.060807762,-0.121540204,-0.361939299,-0.383160129,-0.232884053,-0.243641119,0.116805429
上饶市,5,2013,江西省,5,-0.008228354,-0.079153344,-0.316911348,-0.358701097,-0.227603669,-0.204925353,0.250154018
上饶市,5,2014,江西省,5,0.011732129,-0.186367166,-0.272274864,-0.323198196,-0.232884053,-0.162912039,0.24168335
上饶市,5,2015,江西省,5,0.031911822,0.3920888,-0.204083917,-0.315805359,-0.232884053,-0.131141604,0.513478679
上饶市,5,2016,江西省,5,0.058375531,1.130118825,-0.144407946,-0.333797293,-0.248725204,-0.146804215,0.719289659
上饶市,5,2017,江西省,5,0.088230182,0.581582996,-0.076953496,-0.287171878,-0.217042902,-0.111620476,1.140022708
上饶市,5,2018,江西省,5,0.114975025,2.110003284,-0.066858526,-0.219178092,-0.238164437,-0.01273559,1.527714059
上饶市,5,2019,江西省,5,0.138790877,2.274564033,-0.002414473,-0.174531693,-0.264566356,0.121757471,2.143498266
东莞市,6,2009,广东省,6,0.211703548,0.013100409,0.031547159,-0.034811222,1.689175646,0.05904173,-0.961735424
东莞市,6,2010,广东省,6,0.232090066,-0.056713242,0.141716026,0.005597243,1.7366991,-0.050750887,-0.858951744
东莞市,6,2011,广东省,6,0.251811524,-0.036766485,0.258736095,0.147296351,2.676607415,0.250626002,-0.690603894
东莞市,6,2012,广东省,6,0.270651188,0.107847507,0.324006194,0.154048467,2.333382469,0.262623022,-0.749621735
东莞市,6,2013,广东省,6,0.300754772,0.165194434,0.421673607,0.382097337,1.826465625,0.21779299,-0.712037411
东莞市,6,2014,广东省,6,0.313954427,0.501795966,0.758591656,0.553418202,1.567726819,0.130899188,-0.914434654
东莞市,6,2015,广东省,6,0.328920145,-0.024299761,0.937843549,0.529069463,0.020574369,0.627481419,-0.540374872
东莞市,6,2016,广东省,6,0.347419228,-0.26864754,1.149385906,0.657070853,0.712304645,0.541510692,-0.594125999
东莞市,6,2017,广东省,6,0.368110411,0.322275149,1.30992662,0.769628793,0.9552023,0.720207518,-0.464673462
东莞市,6,2018,广东省,6,0.387445465,1.077758587,1.470926019,0.835257349,0.110340893,0.880086653,-0.219108968
东莞市,6,2019,广东省,6,0.395582238,1.232345957,1.673658282,0.948502438,-0.095594074,0.465097216,0.237693172
中卫市,7,2009,宁夏回族自治区,7,-0.920385401,-0.65760931,-0.6572987,-0.531533087,-0.132556761,-0.279041528,-0.697802947
中卫市,7,2010,宁夏回族自治区,7,-0.918194541,-0.65760931,-0.65342876,-0.531487984,-0.475781707,-0.279373954,-0.622533406
中卫市,7,2011,宁夏回族自治区,7,-0.916695988,-0.642649242,-0.649238932,-0.524110118,-0.190640983,-0.277233961,-0.529327137
中卫市,7,2012,宁夏回族自治区,7,-0.913745943,-0.665089344,-0.645113954,-0.474617281,-0.164239064,-0.276524587,-0.399939195
中卫市,7,2013,宁夏回族自治区,7,-0.904149009,-0.680049412,-0.640335889,-0.445294944,-0.153678296,-0.274087786,-0.354378822
中卫市,7,2014,宁夏回族自治区,7,-0.901607661,-0.642649242,-0.635718582,-0.469191331,-0.195921366,-0.247594614,-0.396155109
中卫市,7,2015,宁夏回族自治区,7,-0.899470055,-0.617715795,-0.632837368,-0.451761094,-0.20120175,-0.256169426,-0.330141845
中卫市,7,2016,宁夏回族自治区,7,-0.898295982,-0.590289004,-0.628950791,-0.448041651,-0.185360599,-0.249604011,-0.192515781
